gene_name,t_stat,fold_change,p_value,p_adjusted
Os04g0448600,-1.332516844,-0.1421324,0.186168557,0.305703602
Os01g0169400,-4.322234752,-0.50369186,4.09E-05,0.000268562
Os07g0631100,-4.883373231,-0.262436839,4.69E-06,4.16E-05
Os04g0229100,-0.018315237,-0.002491279,0.985429292,0.990654845
Os11g0198200,4.599980642,0.681539112,1.43E-05,0.00010692
Os07g0618600,0.6422215,0.028436839,0.52241738,0.653096564
Os08g0557500,-3.852056089,-0.172894468,0.000223358,0.001150958
Os05g0355900,0.216184576,0.050545455,0.82934974,0.889772179
Os09g0565400,4.865338947,0.227775634,5.04E-06,4.42E-05
Os11g0666100,0.722070858,0.051935518,0.472186453,0.608208919
Os05g0404300,-2.051923715,-0.166714059,0.043181992,0.095413498
Os09g0553200,3.12907321,0.15942433,0.002386268,0.008564837
Os09g0395600,-5.411408447,-1.228664112,5.44E-07,6.73E-06
Os11g0552100,-6.217758618,-0.653853858,1.70E-08,3.63E-07
Os11g0233800,-3.969687078,-0.453302326,0.000147661,0.000807709
Os02g0173700,3.467372286,0.372112579,0.000818931,0.00348067
Os03g0338000,-0.014387036,-0.003770613,0.988554129,0.992462062
Os04g0438300,3.763394195,0.250063953,0.000303597,0.00150089
Os04g0662700,-2.657674823,-0.2203824,0.009361066,0.027090159
Os04g0636000,-5.964448163,-0.513962474,5.15E-08,9.02E-07
Os08g0520100,-3.349239504,-0.1318676,0.001199321,0.004805077
Os04g0512500,1.623644746,0.158179704,0.108068102,0.198718069
Os02g0799600,2.101800347,0.337389006,0.03846067,0.087063734
Os03g0811200,0.748019369,0.065765328,0.45646489,0.594110285
Os07g0644100,0.077106456,0.004846723,0.938715833,0.961983612
Os03g0318600,0.076950074,0.004616015,0.938839877,0.962006452
Os04g0477900,-1.828117724,-1.189057875,0.070957848,0.14228694
Os01g0281600,5.726143358,0.87986945,1.44E-07,2.15E-06
Os02g0437200,2.183682727,0.447283298,0.031675839,0.074443995
Os05g0475500,-0.431172593,-0.160821353,0.667408916,0.77251976
Os02g0779200,1.272243564,0.120932875,0.206675103,0.331114459
Os12g0621300,-14.03988165,-1.073251057,4.43E-24,1.26E-20
Os08g0172800,0.195841491,0.009485201,0.845190739,0.900338115
Os05g0498800,2.34019256,0.183735994,0.021561317,0.054121788
Os05g0550000,4.544013656,0.599990486,1.77E-05,0.000129541
Os04g0429900,-0.756121956,-0.060377378,0.451617746,0.589781026
Os02g0504200,1.084411516,0.093507928,0.281177076,0.416500978
Os05g0478300,3.658857856,0.291761628,0.000433507,0.002031582
Os02g0237000,0.867955845,0.049544397,0.387805363,0.527805351
Os02g0524500,0.502724568,0.057393235,0.616427635,0.731327725
Os01g0901500,-3.754835561,-0.315288055,0.000312654,0.001537443
Os01g0780500,-3.193575345,-0.160383192,0.001956857,0.007266349
Os07g0542900,-0.672563962,-0.021854123,0.503006405,0.6354968
Os12g0611700,0.178087883,0.008706131,0.859067801,0.909936288
Os11g0113200,-4.336367758,-0.180569767,3.88E-05,0.000256185
Os02g0204000,-0.625125865,-0.027571353,0.533524002,0.662397467
Os05g0595400,-5.414721434,-0.294196089,5.37E-07,6.65E-06
Os01g0889400,-3.776556383,-0.883181818,0.000290154,0.001443239
Os06g0115600,-1.157053067,-0.054954545,0.250416343,0.381841608
Os06g0644700,2.348878752,0.169560782,0.021094894,0.053214745
Os09g0547100,-0.852605831,-0.159832452,0.396218039,0.536065259
Os03g0405200,1.176584093,0.069381607,0.242569412,0.37284596
Os09g0369400,0.09410135,0.003387421,0.92524494,0.953830946
Os03g0563200,-0.816133897,-0.101204017,0.416651593,0.556019032
Os01g0150400,-0.892599538,-0.065993658,0.374532913,0.514232583
Os08g0554000,1.911844281,0.111838266,0.059186182,0.123184742
Os09g0512700,0.486982645,0.029406448,0.627494805,0.740893704
